% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
37933	1	1	2	2	1	16	1836	0	1	1	0
37933	1	2	1	2	0	18	1980	0	1	1	0
37933	1	2	1	2	1	18	1980	0	1	1	0
37935	1	1	2	2	0	16	1836	0	1	1	0
37935	1	1	2	2	1	16	1836	0	1	1	0
37935	1	2	1	2	0	18	1980	0	1	1	0
37935	1	2	1	2	1	18	1980	0	1	1	0
37936	1	1	2	2	0	14	1527	0	1	1	0
37936	1	1	2	2	1	14	1527	0	1	1	0
37936	1	2	1	2	0	18	1980	0	1	1	0
37936	1	2	1	2	1	18	1980	0	1	1	0
37937	1	1	2	2	0	14	1527	0	1	1	0
37937	1	1	2	2	1	14	1527	0	1	1	0
37937	1	2	1	2	0	18	1980	0	1	1	0
37937	1	2	1	2	1	18	1980	0	1	1	0
37945	1	1	2	2	0	14	3182	0	1	1	0
37945	1	1	2	2	1	14	3182	0	1	1	0
37945	1	2	1	2	0	20	2385	0	1	1	0
37945	1	2	1	2	1	20	2385	0	1	1	0
37946	1	1	2	2	0	14	1527	0	1	1	0
37946	1	1	2	2	1	14	1527	0	1	1	0
37946	1	2	1	2	0	20	2385	0	1	1	0
37946	1	2	1	2	1	20	2385	0	1	1	0
37966	1	1	2	2	0	16	1836	0	1	1	0
37966	1	1	2	2	1	16	1836	0	1	1	0
37966	1	2	1	2	0	22	5861	0	1	1	0
37966	1	2	1	2	1	22	5861	0	1	1	0
37967	1	2	1	2	0	22	5861	0	1	1	0
37967	1	2	1	2	1	22	5861	0	1	1	0
37968	1	1	2	2	0	16	1836	0	1	1	0
37968	1	1	2	2	1	16	1836	0	1	1	0
37968	1	2	1	2	0	22	2769	0	1	1	0
37968	1	2	1	2	1	22	2769	0	1	1	0
37969	1	2	1	2	0	22	5861	0	1	1	0
37969	1	2	1	2	1	22	5861	0	1	1	0
37972	1	1	2	2	0	18	4107	0	1	1	0
37972	1	1	2	2	1	18	4107	0	1	1	0
37973	1	1	2	2	0	18	1980	0	1	1	0
37973	1	1	2	2	1	18	1980	0	1	1	0
37973	1	2	1	2	0	22	2769	0	1	1	0
37973	1	2	1	2	1	22	2769	0	1	1	0
37977	1	1	2	2	0	18	1980	0	1	1	0
37977	1	1	2	2	1	18	1980	0	1	1	0
37977	1	2	1	2	0	20	4904	0	1	1	0
37977	1	2	1	2	1	20	4904	0	1	1	0
37978	1	2	1	2	0	18	4107	0	1	1	0
37978	1	2	1	2	1	18	4107	0	1	1	0
37979	1	1	2	2	0	18	1980	0	1	1	0
37979	1	1	2	2	1	18	1980	0	1	1	0
37979	1	2	1	2	0	18	1980	0	1	1	0
37979	1	2	1	2	1	18	1980	0	1	1	0
37980	1	1	2	2	0	18	1980	0	1	1	0
37980	1	1	2	2	1	18	1980	0	1	1	0
37980	1	2	1	2	0	18	1980	0	1	1	0
37980	1	2	1	2	1	18	1980	0	1	1	0
37981	1	2	1	2	0	18	4107	0	1	1	0
37981	1	2	1	2	1	18	4107	0	1	1	0
