% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
10.521	1	2	1	75.1247	0
10.522	1	1	2	71.7016	0
10.561	1	2	1	117.466	0
10.562	1	1	2	107.727	0
10.601	1	2	1	161.186	0
10.602	1	1	2	55.4386	0
10.641	1	2	1	70.5905	0
10.642	1	1	2	43.0052	0
10.681	1	2	1	24.4983	0
10.682	1	1	2	197.552	0
10.721	1	2	1	41.2393	0
10.722	1	1	2	94.8878	0
10.761	1	2	1	67.731	0
10.762	1	1	2	29.2171	0
10.801	1	2	1	60.0917	0
10.802	1	1	2	51.7242	0
10.841	1	2	1	89.8487	0
10.842	1	1	2	108.211	0
10.881	1	2	1	73.3227	0
10.882	1	1	2	205.103	0
10.921	1	2	1	55.4675	0
10.922	1	1	2	108.459	0
10.961	1	2	1	60.1075	0
10.962	1	1	2	159.495	0
11.001	1	2	1	36.0413	0
11.002	1	1	2	111.176	0
11.041	1	2	1	112.944	0
11.042	1	1	2	38.0168	0
11.081	1	2	1	69.3266	0
11.082	1	1	2	71.3723	0
11.121	1	2	1	55.4637	0
11.122	1	1	2	168.952	0
11.161	1	2	1	62.9495	0
11.162	1	1	2	97.8749	0
11.201	1	2	1	68.8968	0
11.202	1	1	2	60.7746	0
11.241	1	2	1	72.1143	0
11.242	1	1	2	61.1477	0
11.281	1	2	1	86.91	0
11.282	1	1	2	184.575	0
11.321	1	2	1	24.8245	0
11.322	1	1	2	93.5916	0
11.361	1	2	1	49.9078	0
11.362	1	1	2	28.4611	0
11.401	1	2	1	66.0709	0
11.402	1	1	2	124.541	0
11.441	1	2	1	223.414	0
11.442	1	1	2	51.8524	0
11.481	1	2	1	80.0473	0
11.482	1	1	2	182.402	0
11.521	1	2	1	60.8554	0
11.522	1	1	2	56.2949	0
11.561	1	2	1	35.8393	0
11.562	1	1	2	152.836	0
11.601	1	2	1	76.71	0
11.602	1	1	2	53.9078	0
11.641	1	2	1	120.096	0
11.642	1	1	2	39.28	0
11.681	1	2	1	42.0264	0
11.682	1	1	2	49.0423	0
11.721	1	2	1	53.6274	0
11.722	1	1	2	101.671	0
11.761	1	2	1	89.7001	0
11.762	1	1	2	173.531	0
11.801	1	2	1	115.938	0
11.802	1	1	2	46.3254	0
11.841	1	2	1	64.5757	0
11.842	1	1	2	88.675	0
11.881	1	2	1	63.5636	0
11.882	1	1	2	97.5697	0
11.921	1	2	1	77.0812	0
11.922	1	1	2	60.2726	0
11.961	1	2	1	53.1233	0
11.962	1	1	2	240.418	0
12.001	1	2	1	124.645	0
12.002	1	1	2	59.0624	0
12.041	1	2	1	43.5323	0
12.042	1	1	2	107.444	0
12.081	1	2	1	34.9038	0
12.082	1	1	2	63.5459	0
12.121	1	2	1	55.2877	0
12.122	1	1	2	39.1515	0
12.161	1	2	1	69.4653	0
12.162	1	1	2	37.3718	0
12.201	1	2	1	55.5697	0
12.202	1	1	2	61.6194	0
12.241	1	2	1	21.8045	0
12.242	1	1	2	77.6604	0
12.281	1	2	1	91.3969	0
12.282	1	1	2	46.8664	0
12.321	1	2	1	56.4608	0
12.322	1	1	2	51.4744	0
12.361	1	2	1	41.9419	0
12.362	1	1	2	63.1768	0
12.401	1	2	1	43.089	0
12.402	1	1	2	51.2304	0
12.441	1	2	1	55.7212	0
