% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
36738	1	2	1	0	4	453	0	1	1	0
36739	1	2	1	0	4	453	0	1	1	0
36740	1	2	1	0	4	453	0	1	1	0
36741	1	2	1	0	4	453	0	1	1	0
36742	1	2	1	0	4	453	0	1	1	0
36743	1	2	1	0	4	453	0	1	1	0
36744	1	2	1	0	4	453	0	1	1	0
36745	1	2	1	0	4	453	0	1	1	0
36746	1	2	1	0	4	453	0	1	1	0
36747	1	2	1	0	4	453	0	1	1	0
36748	1	2	1	0	4	453	0	1	1	0
36749	1	2	1	0	4	453	0	1	1	0
36750	1	2	1	0	4	453	0	1	1	0
36751	1	2	1	0	4	453	0	1	1	0
36752	1	2	1	0	4	453	0	1	1	0
36753	1	2	1	0	4	453	0	1	1	0
36754	1	2	1	0	4	453	0	1	1	0
36755	1	2	1	0	4	453	0	1	1	0
36756	1	2	1	0	4	453	0	1	1	0
36757	1	2	1	0	4	453	0	1	1	0
36758	1	2	1	0	4	453	0	1	1	0
36759	1	2	1	0	4	453	0	1	1	0
36760	1	2	1	0	4	453	0	1	1	0
36761	1	2	1	0	4	453	0	1	1	0
36762	1	2	1	0	4	453	0	1	1	0
36763	1	2	1	0	4	453	0	1	1	0
36764	1	2	1	0	4	453	0	1	1	0
36765	1	2	1	0	4	453	0	1	1	0
36766	1	2	1	0	4	453	0	1	1	0
36767	1	2	1	0	4	453	0	1	1	0
36768	1	2	1	0	4	453	0	1	1	0
36769	1	2	1	0	4	453	0	1	1	0
36770	1	2	1	0	4	453	0	1	1	0
36771	1	2	1	0	4	453	0	1	1	0
36772	1	2	1	0	4	453	0	1	1	0
36773	1	2	1	0	4	453	0	1	1	0
36774	1	2	1	0	4	453	0	1	1	0
36775	1	2	1	0	4	453	0	1	1	0
36776	1	2	1	0	4	453	0	1	1	0
36777	1	2	1	0	4	453	0	1	1	0
36778	1	2	1	0	4	453	0	1	1	0
36779	1	2	1	0	4	453	0	1	1	0
36780	1	2	1	0	4	453	0	1	1	0
36781	1	2	1	0	4	453	0	1	1	0
36782	1	2	1	0	4	453	0	1	1	0
36783	1	2	1	0	4	453	0	1	1	0
36784	1	2	1	0	4	453	0	1	1	0
36785	1	2	1	0	4	453	0	1	1	0
36786	1	2	1	0	4	453	0	1	1	0
36787	1	2	1	0	4	453	0	1	1	0
36788	1	2	1	0	4	453	0	1	1	0
36789	1	2	1	0	4	453	0	1	1	0
36790	1	2	1	0	4	453	0	1	1	0
36791	1	2	1	0	4	453	0	1	1	0
36792	1	2	1	0	4	453	0	1	1	0
36793	1	2	1	0	4	453	0	1	1	0
36794	1	2	1	0	4	453	0	1	1	0
36795	1	2	1	0	4	453	0	1	1	0
36796	1	2	1	0	4	453	0	1	1	0
36797	1	2	1	0	4	453	0	1	1	0
36798	1	2	1	0	4	453	0	1	1	0
36799	1	2	1	0	4	453	0	1	1	0
36800	1	2	1	0	4	453	0	1	1	0
36801	1	2	1	0	4	453	0	1	1	0
36802	1	2	1	0	4	453	0	1	1	0
36803	1	2	1	0	4	453	0	1	1	0
36804	1	2	1	0	4	453	0	1	1	0
36805	1	2	1	0	4	453	0	1	1	0
36806	1	2	1	0	4	453	0	1	1	0
36808	1	1	2	0	4	453	0	1	1	0
36847	1	2	1	0	0	349	0	1	1	0
36848	1	2	1	0	0	349	0	1	1	0
36849	1	2	1	0	0	349	0	1	1	0
36850	1	2	1	0	0	349	0	1	1	0
36851	1	2	1	0	0	349	0	1	1	0
36852	1	2	1	0	0	349	0	1	1	0
36853	1	2	1	0	0	349	0	1	1	0
36854	1	2	1	0	0	349	0	1	1	0
36855	1	2	1	0	0	349	0	1	1	0
36856	1	2	1	0	0	349	0	1	1	0
36857	1	2	1	0	0	173	0	1	1	0
36857	1	1	2	0	8	871	0	1	1	0
36858	1	2	1	0	0	173	0	1	1	0
36858	1	1	2	0	8	871	0	1	0	0
36859	1	2	1	0	0	173	0	1	1	0
36859	1	1	2	0	8	871	0	1	0	0
36860	1	2	1	0	0	173	0	1	1	0
36860	1	1	2	0	8	871	0	1	0	0
36861	1	2	1	0	0	349	0	1	1	0
36862	1	2	1	0	0	349	0	1	1	0
36863	1	2	1	0	0	349	0	1	1	0
36864	1	2	1	0	0	349	0	1	1	0
36865	1	2	1	0	0	349	0	1	1	0
36866	1	2	1	0	0	349	0	1	1	0
36867	1	2	1	0	0	349	0	1	1	0
36868	1	2	1	0	0	349	0	1	1	0
36869	1	2	1	0	0	349	0	1	1	0
36870	1	2	1	0	0	349	0	1	1	0
36871	1	2	1	0	0	349	0	1	1	0
36872	1	2	1	0	0	349	0	1	1	0
36873	1	2	1	0	0	349	0	1	1	0
36874	1	2	1	0	0	349	0	1	1	0
36875	1	2	1	0	0	349	0	1	1	0
36876	1	2	1	0	0	349	0	1	1	0
36877	1	2	1	0	0	349	0	1	1	0
36878	1	2	1	0	0	349	0	1	1	0
36879	1	2	1	0	0	349	0	1	1	0
36880	1	2	1	0	0	349	0	1	1	0
36881	1	2	1	0	0	349	0	1	1	0
36882	1	2	1	0	0	349	0	1	1	0
36883	1	2	1	0	0	349	0	1	1	0
36884	1	2	1	0	0	349	0	1	1	0
36885	1	2	1	0	0	349	0	1	1	0
36886	1	2	1	0	0	349	0	1	1	0
36887	1	2	1	0	0	349	0	1	1	0
36888	1	2	1	0	0	349	0	1	1	0
36889	1	2	1	0	0	349	0	1	1	0
36890	1	2	1	0	0	349	0	1	1	0
36891	1	2	1	0	0	349	0	1	1	0
36892	1	2	1	0	0	349	0	1	1	0
36893	1	2	1	0	0	349	0	1	1	0
36894	1	2	1	0	0	349	0	1	1	0
36895	1	2	1	0	0	349	0	1	1	0
36896	1	2	1	0	0	349	0	1	1	0
36897	1	2	1	0	0	349	0	1	1	0
36898	1	2	1	0	0	349	0	1	1	0
36899	1	2	1	0	0	349	0	1	1	0
36900	1	2	1	0	0	349	0	1	1	0
36901	1	2	1	0	0	349	0	1	1	0
36902	1	2	1	0	0	349	0	1	1	0
36903	1	2	1	0	0	349	0	1	1	0
36904	1	2	1	0	0	349	0	1	1	0
36905	1	2	1	0	0	349	0	1	1	0
36906	1	2	1	0	0	173	0	1	1	0
36906	1	1	2	0	6	645	0	1	1	0
36907	1	2	1	0	0	173	0	1	1	0
36907	1	1	2	0	6	645	0	1	0	0
36908	1	2	1	0	0	173	0	1	1	0
36908	1	1	2	0	6	645	0	1	0	0
36909	1	2	1	0	0	349	0	1	1	0
36910	1	2	1	0	0	349	0	1	1	0
36911	1	2	1	0	0	349	0	1	1	0
36912	1	2	1	0	0	349	0	1	1	0
36913	1	2	1	0	0	349	0	1	1	0
36914	1	2	1	0	0	349	0	1	1	0
36915	1	2	1	0	0	349	0	1	1	0
36916	1	2	1	0	0	349	0	1	1	0
36917	1	2	1	0	0	349	0	1	1	0
36918	1	2	1	0	0	349	0	1	1	0
36919	1	2	1	0	0	349	0	1	1	0
36920	1	2	1	0	0	349	0	1	1	0
36921	1	2	1	0	0	349	0	1	1	0
36922	1	2	1	0	0	349	0	1	1	0
36923	1	2	1	0	0	349	0	1	1	0
36924	1	2	1	0	0	349	0	1	1	0
36925	1	2	1	0	0	349	0	1	1	0
36926	1	2	1	0	0	349	0	1	1	0
36955	1	1	2	0	4	453	0	1	1	0
36956	1	1	2	0	4	453	0	1	1	0
37004	1	2	1	0	6	645	0	1	1	0
37004	1	1	2	0	2	277	0	1	1	0
37005	1	2	1	0	6	645	0	1	1	0
37005	1	1	2	0	2	277	0	1	1	0
37006	1	2	1	0	6	645	0	1	1	0
37006	1	1	2	0	2	277	0	1	0	0
37025	1	2	1	0	4	453	0	1	1	0
37025	1	1	2	0	12	1239	0	1	1	0
37053	1	1	2	0	6	645	0	1	1	0
37087	1	2	1	0	2	573	0	1	1	0
37088	1	2	1	0	2	573	0	1	1	0
37089	1	2	1	0	2	573	0	1	1	0
37090	1	2	1	0	2	573	0	1	1	0
37091	1	2	1	0	2	573	0	1	1	0
37092	1	2	1	0	2	573	0	1	1	0
37093	1	2	1	0	2	573	0	1	1	0
37094	1	2	1	0	2	573	0	1	1	0
37095	1	2	1	0	2	573	0	1	1	0
37096	1	2	1	0	2	573	0	1	1	0
37097	1	2	1	0	2	573	0	1	1	0
37098	1	2	1	0	2	573	0	1	1	0
37099	1	2	1	0	2	573	0	1	1	0
37100	1	2	1	0	2	573	0	1	1	0
37101	1	2	1	0	2	573	0	1	1	0
37102	1	2	1	0	8	871	0	1	1	0
37102	1	1	2	0	10	1095	0	1	1	0
37105	1	2	1	0	2	573	0	1	1	0
37120	1	2	1	0	2	573	0	1	1	0
37129	1	2	1	0	6	1287	0	1	1	0
37136	1	2	1	0	6	1287	0	1	1	0
37138	1	2	1	0	6	1287	0	1	1	0
37139	1	2	1	0	6	1287	0	1	1	0
37140	1	2	1	0	6	1287	0	1	1	0
37142	1	2	1	0	6	1287	0	1	1	0
37143	1	2	1	0	6	1287	0	1	1	0
37144	1	2	1	0	6	1287	0	1	1	0
37145	1	2	1	0	6	1287	0	1	1	0
37146	1	2	1	0	6	1287	0	1	1	0
37147	1	2	1	0	6	1287	0	1	1	0
37149	1	2	1	0	6	1287	0	1	1	0
37151	1	2	1	0	6	645	0	1	0	0
37151	1	1	2	0	6	645	0	1	1	0
37176	1	2	1	0	0	349	0	1	1	0
37178	1	2	1	0	0	349	0	1	1	0
37179	1	2	1	0	0	349	0	1	1	0
37180	1	2	1	0	0	349	0	1	1	0
37181	1	2	1	0	0	349	0	1	1	0
37182	1	2	1	0	0	349	0	1	1	0
37185	1	2	1	0	0	349	0	1	1	0
37186	1	2	1	0	0	349	0	1	1	0
37187	1	2	1	0	0	349	0	1	1	0
37188	1	2	1	0	0	349	0	1	1	0
37189	1	2	1	0	0	349	0	1	1	0
37190	1	2	1	0	0	349	0	1	1	0
37191	1	2	1	0	0	349	0	1	1	0
37192	1	2	1	0	0	349	0	1	1	0
37193	1	2	1	0	0	349	0	1	1	0
37194	1	2	1	0	0	349	0	1	1	0
37195	1	2	1	0	0	349	0	1	1	0
37196	1	2	1	0	0	349	0	1	1	0
37197	1	2	1	0	0	349	0	1	1	0
37198	1	2	1	0	0	349	0	1	1	0
37199	1	2	1	0	0	349	0	1	1	0
37200	1	2	1	0	0	173	0	1	1	0
37200	1	1	2	0	10	1095	0	1	1	0
37201	1	2	1	0	0	349	0	1	1	0
37202	1	2	1	0	0	349	0	1	1	0
37203	1	2	1	0	0	349	0	1	1	0
37204	1	2	1	0	0	349	0	1	1	0
37205	1	2	1	0	0	349	0	1	1	0
37206	1	2	1	0	0	349	0	1	1	0
37249	1	1	2	0	0	173	0	1	1	0
