% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
33544	1	2	1	0	0	349	0	1	0
33545	1	2	1	0	0	349	0	1	0
33546	1	1	2	0	6	645	0	1	0
33546	1	2	1	0	0	173	0	1	0
33547	1	1	2	0	6	645	0	1	0
33547	1	2	1	0	0	173	0	1	0
33548	1	1	2	0	6	645	0	1	0
33548	1	2	1	0	0	173	0	1	0
33549	1	2	1	0	0	349	0	1	0
33550	1	2	1	0	0	349	0	1	0
33551	1	2	1	0	0	349	0	1	0
33552	1	2	1	0	0	349	0	1	0
33553	1	2	1	0	0	349	0	1	0
33554	1	2	1	0	0	349	0	1	0
33555	1	2	1	0	0	349	0	1	0
33556	1	2	1	0	0	349	0	1	0
33557	1	2	1	0	0	349	0	1	0
33558	1	2	1	0	0	349	0	1	0
33559	1	2	1	0	0	349	0	1	0
33560	1	2	1	0	0	349	0	1	0
33561	1	2	1	0	0	349	0	1	0
33562	1	2	1	0	0	349	0	1	0
33563	1	2	1	0	0	349	0	1	0
33564	1	2	1	0	0	349	0	1	0
33565	1	2	1	0	0	349	0	1	0
33566	1	2	1	0	0	349	0	1	0
33572	1	2	1	0	6	1287	0	1	0
33577	1	2	1	0	6	1287	0	1	0
33578	1	2	1	0	6	1287	0	1	0
33579	1	2	1	0	6	1287	0	1	0
33580	1	2	1	0	6	1287	0	1	0
33581	1	2	1	0	6	1287	0	1	0
33582	1	2	1	0	6	1287	0	1	0
33583	1	2	1	0	6	1287	0	1	0
33584	1	2	1	0	6	1287	0	1	0
33585	1	2	1	0	6	1287	0	1	0
33586	1	2	1	0	6	1287	0	1	0
33587	1	2	1	0	6	1287	0	1	0
33588	1	2	1	0	6	1287	0	1	0
33589	1	2	1	0	6	1287	0	1	0
33590	1	2	1	0	6	1287	0	1	0
33591	1	2	1	0	6	1287	0	1	0
33592	1	2	1	0	6	1287	0	1	0
33593	1	2	1	0	6	1287	0	1	0
33594	1	2	1	0	6	1287	0	1	0
33595	1	1	2	0	2	277	0	1	0
33595	1	2	1	0	6	645	0	1	0
33596	1	1	2	0	2	277	0	1	0
33596	1	2	1	0	6	645	0	1	0
33597	1	2	1	0	6	1287	0	1	0
33598	1	2	1	0	6	1287	0	1	0
33599	1	2	1	0	6	1287	0	1	0
33600	1	2	1	0	6	1287	0	1	0
33601	1	2	1	0	6	1287	0	1	0
33602	1	2	1	0	6	1287	0	1	0
33603	1	2	1	0	6	1287	0	1	0
33609	1	2	1	0	6	1287	0	1	0
33621	1	2	1	0	6	1287	0	1	0
33622	1	2	1	0	6	1287	0	1	0
33626	1	2	1	0	6	1287	0	1	0
33627	1	2	1	0	6	1287	0	1	0
33628	1	2	1	0	6	1287	0	1	0
33629	1	2	1	0	6	1287	0	1	0
