% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1475	1	2	1	1	28	9422	0	1	0
1476	1	1	2	0	28	9422	0	1	0
1476	1	1	2	1	28	9422	0	1	0
1477	1	2	1	0	28	9422	0	1	0
1477	1	2	1	1	28	9422	0	1	0
1478	1	2	1	0	28	9422	0	1	0
1478	1	2	1	1	28	9422	0	1	0
1481	1	2	1	0	28	9422	0	1	0
1481	1	2	1	1	28	9422	0	1	0
1482	1	2	1	0	28	9422	0	1	0
1482	1	2	1	1	28	9422	0	1	0
1483	1	2	1	0	28	9422	0	1	0
1483	1	2	1	1	28	9422	0	1	0
1484	1	2	1	0	28	9422	0	1	0
1484	1	2	1	1	28	9422	0	1	0
1485	1	2	1	0	28	9422	0	1	0
1485	1	2	1	1	28	9422	0	1	0
1487	1	2	1	0	28	9422	0	1	0
1487	1	2	1	1	28	9422	0	1	0
1488	1	2	1	0	28	9422	0	1	0
1488	1	2	1	1	28	9422	0	1	0
1489	1	2	1	0	28	9422	0	1	0
1489	1	2	1	1	28	9422	0	1	0
1490	1	2	1	0	28	9422	0	1	0
1490	1	2	1	1	28	9422	0	1	0
1491	1	2	1	0	28	9422	0	1	0
1491	1	2	1	1	28	9422	0	1	0
1492	1	2	1	0	28	9422	0	1	0
1492	1	2	1	1	28	9422	0	1	0
1495	1	2	1	0	28	9422	0	1	0
1495	1	2	1	1	28	9422	0	1	0
1497	1	2	1	0	28	9422	0	1	0
1497	1	2	1	1	28	9422	0	1	0
1499	1	2	1	0	28	9422	0	1	0
1499	1	2	1	1	28	9422	0	1	0
1500	1	2	1	0	28	9422	0	1	0
1500	1	2	1	1	28	9422	0	1	0
1501	1	2	1	0	28	9422	0	1	0
1501	1	2	1	1	28	9422	0	1	0
1502	1	2	1	0	28	9422	0	1	0
1502	1	2	1	1	28	9422	0	1	0
1503	1	2	1	0	28	9422	0	1	0
1503	1	2	1	1	28	9422	0	1	0
1510	1	1	2	0	28	9422	0	1	0
1510	1	1	2	1	28	9422	0	1	0
1511	1	2	1	0	28	4395	0	1	0
1511	1	2	1	1	28	4395	0	1	0
1511	1	1	2	0	28	4395	0	1	0
1511	1	1	2	1	28	4395	0	1	0
1512	1	1	2	0	26	3662	0	1	0
1512	1	1	2	1	26	3662	0	1	0
1512	1	2	1	0	28	4395	0	1	0
1512	1	2	1	1	28	4395	0	1	0
1513	1	2	1	0	28	4395	0	1	0
1513	1	2	1	1	28	4395	0	1	0
1513	1	1	2	0	26	3662	0	1	0
1513	1	1	2	1	26	3662	0	1	0
1514	1	1	2	0	28	4395	0	1	0
